"threshold","sensitivity","specificity","youden_j"
0.1,1,0,0
0.105,1,0,0
0.11,1,0,0
0.115,1,0,0
0.12,1,0,0
0.125,1,0,0
0.13,1,0,0
0.135,1,0,0
0.14,1,0,0
0.145,1,0,0
0.15,1,0,0
0.155,1,0,0
0.16,1,0,0
0.165,1,0,0
0.17,1,0,0
0.175,1,0,0
0.18,1,0,0
0.185,1,0,0
0.19,1,0,0
0.195,1,0,0
0.2,1,0,0
0.205,1,0,0
0.21,1,0,0
0.215,1,0,0
0.22,1,0,0
0.225,1,0,0
0.23,1,0,0
0.235,1,0,0
0.24,1,0,0
0.245,1,0,0
0.25,1,0,0
0.255,1,0,0
0.26,1,0,0
0.265,1,0,0
0.27,1,0,0
0.275,1,0,0
0.28,1,0,0
0.285,1,0,0
0.29,1,0,0
0.295,1,0,0
0.3,1,0,0
0.305,1,0,0
0.31,1,0,0
0.315,1,0,0
0.32,1,0,0
0.325,1,0,0
0.33,1,0,0
0.335,1,0,0
0.34,1,0,0
0.345,1,0,0
0.35,1,0,0
0.355,1,0,0
0.36,1,0,0
0.365,1,0,0
0.37,1,0,0
0.375,1,0,0
0.38,1,0,0
0.385,1,0,0
0.39,1,0,0
0.395,1,0,0
0.4,1,0,0
0.405,1,0,0
0.41,1,0,0
0.415,1,0,0
0.42,1,0,0
0.425,1,0,0
0.43,1,0,0
0.435,1,0,0
0.44,1,0,0
0.445,1,0,0
0.45,1,0,0
0.455,1,0,0
0.46,1,0,0
0.465,1,0,0
0.47,1,0,0
0.475,1,0,0
0.48,1,0,0
0.485,1,0,0
0.49,1,0,0
0.495,1,0,0
0.5,1,0,0
0.505,1,0,0
0.51,1,0,0
0.515,1,0,0
0.52,1,0,0
0.525,1,0,0
0.53,1,0,0
0.535,1,0,0
0.54,1,0,0
0.545,1,0,0
0.55,1,0,0
0.555,1,0,0
0.56,1,0,0
0.565,1,0,0
0.57,1,0,0
0.575,1,0,0
0.58,1,0,0
0.585,1,0,0
0.59,1,0,0
0.595,1,0,0
0.6,1,0,0
0.605,1,0,0
0.61,1,0,0
0.615,1,0,0
0.62,1,0,0
0.625,1,0,0
0.63,1,0,0
0.635,1,0,0
0.64,1,0,0
0.645,1,0,0
0.65,1,0,0
0.655,1,0,0
0.66,1,0,0
0.665,1,0,0
0.67,0.997830802603037,0,-0.00216919739696309
0.675,0.997830802603037,0,-0.00216919739696309
0.68,0.997830802603037,0,-0.00216919739696309
0.685,0.997830802603037,0,-0.00216919739696309
0.69,0.997830802603037,0,-0.00216919739696309
0.695,0.997830802603037,0,-0.00216919739696309
0.7,0.997830802603037,0,-0.00216919739696309
0.705,0.997830802603037,0,-0.00216919739696309
0.71,0.997830802603037,0,-0.00216919739696309
0.715,0.997830802603037,0,-0.00216919739696309
0.72,0.997830802603037,0,-0.00216919739696309
0.725,0.997830802603037,0,-0.00216919739696309
0.73,0.997830802603037,0,-0.00216919739696309
0.735,0.997830802603037,0,-0.00216919739696309
0.74,0.997830802603037,0,-0.00216919739696309
0.745,0.997830802603037,0,-0.00216919739696309
0.75,0.997830802603037,0,-0.00216919739696309
0.755,0.997830802603037,0,-0.00216919739696309
0.76,0.997830802603037,0,-0.00216919739696309
0.765,0.997830802603037,0,-0.00216919739696309
0.77,0.997830802603037,0,-0.00216919739696309
0.775,0.997830802603037,0,-0.00216919739696309
0.78,0.997830802603037,0,-0.00216919739696309
0.785,0.997830802603037,0,-0.00216919739696309
0.79,0.995661605206074,0,-0.00433839479392628
0.795,0.995661605206074,0,-0.00433839479392628
0.8,0.995661605206074,0,-0.00433839479392628
0.805,0.995661605206074,0,-0.00433839479392628
0.81,0.995661605206074,0,-0.00433839479392628
0.815,0.995661605206074,0,-0.00433839479392628
0.82,0.993492407809111,0.0256410256410256,0.0191334334501363
0.825,0.991323210412148,0.0256410256410256,0.0169642360531732
0.83,0.989154013015184,0.0256410256410256,0.0147950386562099
0.835,0.986984815618221,0.0512820512820513,0.0382668669002726
0.84,0.986984815618221,0.0512820512820513,0.0382668669002726
0.845,0.980477223427332,0.0512820512820513,0.0317592747093831
0.85,0.978308026030369,0.0769230769230769,0.0552311029534458
0.855,0.973969631236443,0.102564102564103,0.0765337338005452
0.86,0.967462039045553,0.128205128205128,0.0956671672506815
0.865,0.96529284164859,0.128205128205128,0.0934979698537182
0.87,0.952277657266811,0.205128205128205,0.157405862395016
0.875,0.943600867678959,0.230769230769231,0.17437009844819
0.88,0.932754880694143,0.230769230769231,0.163524111463374
0.885,0.915401301518438,0.230769230769231,0.146170532287669
0.89,0.900216919739696,0.256410256410256,0.156627176149953
0.895,0.876355748373102,0.256410256410256,0.132766004783358
0.9,0.841648590021692,0.256410256410256,0.0980588464319485
0.905,0.824295010845987,0.333333333333333,0.15762834417932
0.91,0.783080260303688,0.384615384615385,0.167695644919072
0.915,0.733188720173536,0.41025641025641,0.143445130429946
0.92,0.698481561822126,0.41025641025641,0.108737972078536
0.925,0.635574837310195,0.461538461538462,0.0971132988486567
0.93,0.52060737527115,0.564102564102564,0.0847099393737136
0.935,0.392624728850325,0.717948717948718,0.110573446799043
0.94,0.234273318872017,0.794871794871795,0.0291451137438121
0.945,0.121475054229935,0.846153846153846,-0.032371099616219
0.95,0.0303687635574837,0.948717948717949,-0.0209132877245676
